iter	Passed	Remaining
403	10737	148727
404	10764	148704
405	10791	148687
406	10814	148618
407	10839	148562
408	10867	148551
409	10896	148566
410	10919	148491
411	10941	148401
412	10964	148331
413	10994	148348
414	11019	148292
415	11041	148214
416	11065	148155
417	11091	148116
418	11121	148132
419	11147	148103
420	11175	148090
421	11198	148015
422	11224	147990
423	11246	147903
424	11271	147860
425	11297	147817
426	11320	147748
427	11342	147664
428	11368	147637
429	11394	147597
430	11416	147510
431	11439	147440
432	11463	147389
433	11488	147335
434	11509	147247
435	11536	147225
436	11558	147141
437	11588	147152
438	11614	147131
439	11640	147095
440	11668	147088
441	11693	147039
442	11720	147018
443	11746	146990
444	11783	147101
445	11810	147080
446	11835	147035
447	11864	147040
448	11889	146989
449	11912	146916
450	11937	146871
451	11962	146829
452	11990	146822
453	12016	146790
454	12038	146715
455	12065	146691
456	12090	146640
457	12111	146557
458	12134	146487
459	12157	146424
460	12184	146395
461	12211	146377
462	12236	146337
463	12256	146235
464	12283	146210
465	12304	146123
466	12329	146075
467	12350	145989
468	12376	145958
469	12401	145919
470	12434	145970
471	12459	145928
472	12487	145911
473	12515	145913
474	12540	145863
475	12565	145822
476	12591	145787
477	12616	145750
478	12639	145687
479	12664	145637
480	12691	145619
481	12715	145568
482	12738	145501
483	12765	145483
484	12792	145466
485	12819	145446
486	12843	145396
487	12867	145343
488	12895	145331
489	12923	145327
490	12947	145268
491	12973	145240
492	12997	145184
493	13019	145110
494	13045	145087
495	13076	145110
496	13101	145068
497	13126	145026
498	13151	144980
499	13179	144977
500	13205	144943
501	13229	144889
502	13256	144875
503	13282	144841
504	13308	144813
505	13336	144799
506	13361	144760
507	13384	144705
508	13409	144657
509	13437	144648
510	13463	144624
511	13490	144598
512	13513	144541
513	13538	144494
514	13565	144475
515	13593	144468
516	13616	144407
517	13637	144320
518	13661	144276
519	13683	144198
520	13704	144125
521	13727	144060
522	13752	144016
523	13775	143963
524	13805	143974
525	13835	143979
526	13864	143986
527	13889	143940
528	13912	143886
529	13935	143826
530	13968	143863
531	13992	143819
532	14015	143757
533	14042	143737
534	14068	143708
535	14096	143699
536	14120	143650
537	14146	143616
538	14173	143597
539	14197	143551
540	14228	143574
541	14256	143560
542	14281	143526
543	14307	143499
544	14331	143446
545	14357	143416
546	14380	143359
547	14406	143325
548	14429	143274
549	14454	143235
550	14482	143225
551	14508	143191
552	14533	143154
553	14561	143142
554	14585	143097
555	14609	143051
556	14634	143003
557	14663	143010
558	14688	142967
559	14715	142950
560	14741	142918
561	14766	142885
562	14787	142806
563	14813	142779
564	14844	142794
565	14874	142806
566	14903	142809
567	14925	142741
568	14948	142684
569	14974	142648
570	15005	142666
571	15038	142703
572	15070	142736
573	15096	142704
574	15120	142657
575	15141	142585
576	15166	142543
577	15191	142508
578	15217	142477
579	15243	142445
580	15268	142414
581	15296	142399
582	15328	142421
583	15355	142410
584	15381	142376
585	15406	142338
586	15432	142306
587	15458	142283
588	15483	142247
589	15506	142186
590	15527	142114
591	15550	142055
592	15574	142004
593	15599	141971
594	15622	141911
595	15645	141860
596	15665	141780
597	15693	141762
598	15719	141738
599	15747	141728
600	15767	141644
601	15792	141604
602	15817	141566
603	15842	141529
604	15863	141463
605	15888	141422
606	15914	141391
607	15942	141382
608	15966	141342
609	15992	141313
610	16017	141273
611	16044	141253
612	16072	141244
613	16098	141212
614	16119	141147
615	16143	141094
616	16163	141019
617	16190	140996
618	16217	140979
619	16244	140957
620	16272	140948
621	16294	140889
622	16324	140891
623	16352	140883
624	16377	140843
625	16402	140813
626	16427	140776
627	16457	140776
628	16479	140721
629	16504	140682
630	16528	140634
631	16553	140601
632	16579	140571
633	16603	140525
634	16625	140466
635	16653	140456
636	16678	140419
637	16698	140339
638	16722	140298
639	16750	140286
640	16773	140236
641	16796	140177
642	16819	140125
643	16846	140105
644	16870	140065
645	16899	140060
646	16924	140029
647	16948	139984
648	16971	139927
649	16994	139880
650	17023	139872
651	17050	139854
652	17076	139824
653	17102	139801
654	17130	139792
655	17154	139743
656	17179	139713
657	17203	139664
658	17232	139662
659	17259	139647
660	17281	139589
661	17306	139547
662	17334	139538
663	17359	139500
664	17381	139443
665	17410	139440
666	17437	139418
667	17461	139382
668	17485	139334
669	17511	139309
670	17541	139314
671	17569	139297
672	17592	139253
673	17621	139244
674	17645	139203
675	17670	139165
676	17691	139103
677	17715	139060
678	17744	139052
679	17774	139055
680	17797	139009
681	17821	138964
682	17847	138939
683	17869	138882
684	17893	138834
685	17918	138805
686	17944	138777
687	17973	138773
688	17997	138733
689	18024	138709
690	18051	138689
691	18075	138644
692	18099	138608
693	18124	138571
694	18152	138557
695	18173	138498
696	18197	138451
697	18223	138421
698	18244	138364
699	18272	138348
700	18297	138311
701	18320	138266
702	18349	138261
703	18370	138194
704	18398	138181
705	18423	138152
706	18450	138132
707	18474	138089
708	18497	138038
709	18524	138022
710	18549	137989
711	18577	137970
712	18598	137908
713	18628	137913
714	18648	137842
715	18671	137792
716	18696	137760
717	18725	137755
718	18752	137735
719	18778	137707
720	18807	137705
721	18831	137665
722	18856	137627
723	18882	137605
724	18910	137593
725	18938	137574
726	18962	137535
727	18988	137512
728	19016	137498
729	19042	137467
730	19064	137416
731	19094	137414
732	19119	137381
733	19140	137323
734	19167	137299
735	19189	137243
736	19209	137177
737	19236	137155
738	19259	137107
739	19285	137082
740	19309	137045
741	19338	137034
742	19358	136970
743	19384	136941
744	19412	136930
745	19438	136904
746	19464	136874
747	19489	136841
748	19517	136830
749	19540	136782
750	19563	136732
751	19583	136666
752	19605	136610
753	19626	136555
754	19652	136523
755	19672	136461
756	19693	136399
757	19716	136348
758	19736	136286
759	19765	136278
760	19787	136226
761	19815	136214
762	19837	136161
763	19862	136125
764	19881	136050
765	19901	135981
766	19925	135942
767	19950	135909
768	19971	135855
769	19998	135837
770	20026	135820
771	20052	135794
772	20080	135782
773	20109	135775
774	20137	135767
775	20165	135750
776	20188	135709
777	20216	135696
778	20243	135673
779	20269	135648
780	20295	135622
781	20320	135591
782	20346	135562
783	20370	135524
784	20390	135459
785	20415	135428
786	20435	135364
787	20456	135305
788	20476	135240
789	20496	135171
790	20519	135124
791	20543	135085
792	20563	135026
793	20588	134990
794	20610	134937
795	20632	134887
796	20653	134829
797	20675	134780
798	20698	134736
799	20727	134726
800	20752	134695
801	20775	134650
802	20795	134586
803	20818	134546
804	20841	134498
805	20862	134441
806	20889	134422
807	20911	134370
808	20933	134322
809	20957	134284
810	20981	134243
811	21006	134213
812	21032	134187
813	21056	134150
814	21086	134150
815	21108	134100
816	21134	134078
817	21155	134019
818	21179	133980
819	21201	133934
820	21224	133886
821	21243	133821
822	21266	133772
823	21287	133718
824	21312	133688
825	21335	133646
826	21358	133600
827	21381	133558
828	21406	133525
829	21429	133479
830	21450	133429
831	21473	133381
832	21497	133345
833	21528	133352
834	21552	133316
835	21578	133288
836	21602	133256
837	21629	133233
838	21649	133174
839	21674	133142
840	21695	133089
841	21723	133073
842	21748	133044
843	21773	133014
844	21793	132955
845	21819	132925
846	21842	132885
847	21865	132844
848	21893	132828
849	21919	132805
850	21943	132771
851	21972	132761
852	21992	132703
853	22013	132650
854	22038	132617
855	22058	132556
856	22086	132543
857	22111	132511
858	22132	132461
859	22157	132431
860	22182	132399
861	22208	132377
862	22232	132341
863	22257	132309
864	22278	132252
865	22300	132203
866	22325	132173
867	22352	132156
868	22375	132114
869	22401	132091
870	22426	132063
871	22454	132046
872	22483	132043
873	22514	132048
874	22537	132002
875	22566	131998
876	22587	131944
877	22614	131925
878	22637	131884
879	22661	131848
880	22682	131796
881	22702	131738
882	22731	131728
883	22760	131720
884	22785	131691
885	22813	131679
886	22835	131634
887	22860	131605
888	22884	131563
889	22909	131536
890	22931	131489
891	22956	131460
892	22979	131415
893	23006	131401
894	23031	131369
895	23053	131325
896	23075	131275
897	23101	131250
898	23123	131203
899	23149	131183
900	23174	131151
901	23204	131150
902	23231	131132
903	23255	131095
904	23278	131052
905	23303	131022
906	23327	130986
907	23351	130955
908	23376	130922
909	23400	130889
910	23421	130833
911	23442	130786
912	23468	130757
913	23494	130738
914	23518	130700
915	23541	130658
916	23566	130631
917	23594	130618
918	23615	130563
919	23637	130517
920	23659	130475
921	23683	130437
922	23703	130379
923	23734	130382
924	23755	130336
925	23778	130296
926	23801	130252
927	23826	130223
928	23853	130206
929	23876	130163
930	23897	130116
931	23922	130082
932	23944	130041
933	23980	130072
934	24007	130050
935	24034	130033
936	24062	130020
937	24088	129996
938	24110	129951
939	24137	129932
940	24158	129880
941	24180	129836
942	24204	129802
943	24226	129756
944	24251	129726
945	24273	129683
946	24295	129634
947	24324	129626
948	24347	129587
949	24367	129534
950	24390	129492
951	24409	129433
952	24428	129373
953	24450	129326
954	24472	129280
955	24499	129261
956	24523	129229
957	24543	129174
958	24567	129137
959	24592	129110
960	24615	129071
961	24636	129020
962	24656	128965
963	24684	128951
964	24704	128900
965	24728	128867
966	24751	128826
967	24776	128798
968	24797	128748
969	24819	128703
970	24841	128658
971	24862	128608
972	24884	128567
973	24907	128525
974	24931	128492
975	24953	128450
976	24973	128392
977	24995	128349
978	25016	128304
979	25037	128254
980	25059	128207
981	25080	128161
982	25102	128118
983	25126	128084
984	25151	128057
985	25178	128038
986	25206	128022
987	25231	127995
988	25257	127972
989	25290	127985
990	25316	127961
991	25342	127940
992	25366	127905
993	25390	127872
994	25412	127826
995	25432	127774
996	25453	127726
997	25476	127689
998	25499	127649
999	25524	127622
1000	25547	127583
1001	25568	127538
1002	25590	127491
1003	25615	127464
1004	25638	127427
1005	25659	127376
1006	25687	127364
1007	25710	127326
1008	25732	127283
1009	25753	127238
1010	25776	127200
1011	25798	127159
1012	25820	127114
1013	25841	127066
1014	25868	127049
1015	25890	127005
1016	25914	126971
1017	25934	126919
1018	25951	126855
1019	25972	126809
1020	25997	126779
1021	26020	126742
1022	26043	126706
1023	26066	126666
1024	26086	126614
1025	26108	126572
1026	26131	126534
1027	26153	126495
1028	26174	126448
1029	26197	126410
1030	26221	126375
1031	26242	126329
1032	26265	126294
1033	26286	126245
1034	26308	126206
1035	26331	126168
1036	26354	126132
1037	26376	126090
1038	26397	126043
1039	26422	126013
1040	26444	125971
1041	26463	125918
1042	26487	125884
1043	26509	125842
1044	26528	125789
1045	26550	125746
1046	26571	125699
1047	26592	125656
1048	26615	125618
1049	26639	125585
1050	26658	125532
1051	26684	125507
1052	26709	125483
1053	26734	125454
1054	26760	125431
1055	26783	125394
1056	26811	125383
1057	26833	125340
1058	26860	125322
1059	26889	125314
1060	26915	125291
1061	26940	125263
1062	26962	125224
1063	26984	125183
1064	27010	125160
1065	27033	125125
1066	27061	125112
1067	27087	125088
1068	27108	125045
1069	27132	125012
1070	27158	124990
1071	27182	124956
1072	27209	124942
1073	27232	124902
1074	27258	124882
1075	27280	124841
1076	27308	124828
1077	27335	124810
1078	27357	124770
1079	27377	124721
1080	27394	124657
1081	27422	124642
1082	27445	124608
1083	27466	124562
1084	27488	124522
1085	27512	124490
1086	27537	124461
1087	27561	124431
1088	27584	124397
1089	27611	124376
1090	27633	124339
1091	27657	124306
1092	27678	124261
1093	27706	124249
1094	27729	124214
1095	27751	124173
1096	27774	124136
1097	27798	124106
1098	27818	124058
1099	27840	124016
1100	27863	123981
1101	27885	123942
1102	27907	123900
1103	27929	123861
1104	27955	123840
1105	27978	123804
1106	28000	123762
1107	28026	123742
1108	28047	123696
1109	28073	123673
1110	28094	123629
1111	28115	123586
1112	28135	123539
1113	28160	123512
1114	28179	123460
1115	28203	123427
1116	28223	123378
1117	28244	123337
1118	28266	123296
1119	28288	123257
1120	28309	123212
1121	28331	123174
1122	28355	123143
1123	28376	123100
1124	28403	123080
1125	28423	123034
1126	28447	123004
1127	28471	122973
1128	28497	122951
1129	28520	122917
1130	28542	122877
1131	28563	122833
1132	28585	122795
1133	28608	122759
