iter	Passed	Remaining
0	22	136190
1	43	129589
2	62	125095
3	81	122500
4	100	120564
5	121	120949
6	141	121123
7	161	120986
8	181	120608
9	201	120729
10	224	122350
11	244	121757
12	264	121975
13	284	121775
14	305	121695
15	327	122489
16	346	121932
17	366	121778
18	386	121536
19	406	121604
20	427	121774
21	448	121910
22	470	122170
23	488	121625
24	507	121185
25	526	120912
26	545	120659
27	562	120055
28	581	119778
29	601	119728
30	622	119833
31	641	119607
32	658	119148
33	678	119012
34	700	119439
35	721	119489
36	742	119605
37	762	119679
38	784	119911
39	803	119726
40	825	119921
41	844	119803
42	867	120159
43	887	120160
44	910	120453
45	931	120611
46	954	120859
47	971	120504
48	991	120452
49	1011	120390
50	1031	120318
51	1052	120422
52	1074	120537
53	1095	120643
54	1118	120923
55	1141	121121
56	1161	121127
57	1180	120920
58	1201	121026
59	1224	121182
60	1245	121248
61	1264	121136
62	1283	120913
63	1304	120989
64	1325	121050
65	1344	120885
66	1363	120766
67	1383	120675
68	1405	120822
69	1425	120745
70	1443	120530
71	1464	120584
72	1484	120564
73	1504	120478
74	1525	120521
75	1544	120425
76	1563	120235
77	1585	120408
78	1604	120266
79	1624	120179
80	1644	120142
81	1663	120074
82	1684	120108
83	1706	120164
84	1728	120266
85	1749	120284
86	1768	120221
87	1788	120121
88	1807	120057
89	1828	120087
90	1846	119890
91	1864	119740
92	1883	119651
93	1904	119656
94	1928	119844
95	1949	119896
96	1969	119829
97	1988	119735
98	2005	119556
99	2027	119606
100	2050	119768
101	2069	119670
102	2088	119549
103	2107	119490
104	2126	119404
105	2145	119306
106	2164	119193
107	2187	119325
108	2207	119289
109	2226	119215
110	2242	118957
111	2264	119038
112	2285	119056
113	2304	118978
114	2324	118931
115	2343	118870
116	2367	119019
117	2386	118968
118	2408	119022
119	2428	118993
120	2449	119022
121	2469	119000
122	2488	118910
123	2506	118783
124	2527	118779
125	2550	118882
126	2569	118819
127	2589	118779
128	2608	118736
129	2628	118693
130	2648	118671
131	2667	118590
132	2686	118518
133	2706	118459
134	2725	118419
135	2745	118395
136	2765	118342
137	2784	118290
138	2805	118274
139	2825	118253
140	2848	118347
141	2866	118247
142	2886	118225
143	2906	118193
144	2927	118211
145	2944	118070
146	2960	117894
147	2980	117846
148	3000	117830
149	3022	117877
150	3043	117877
151	3062	117838
152	3082	117784
153	3104	117833
154	3123	117795
155	3144	117790
156	3167	117901
157	3189	117940
158	3212	118007
159	3234	118062
160	3253	118004
161	3273	117966
162	3298	118123
163	3320	118172
164	3346	118357
165	3366	118307
166	3387	118317
167	3411	118418
168	3430	118364
169	3449	118309
170	3468	118236
171	3485	118103
172	3504	118053
173	3524	118015
174	3546	118034
175	3565	117972
176	3586	118005
177	3607	117993
178	3626	117925
179	3644	117844
180	3666	117878
181	3685	117811
182	3704	117747
183	3722	117663
184	3741	117600
185	3760	117540
186	3779	117480
187	3799	117462
188	3823	117543
189	3842	117497
190	3861	117435
191	3880	117399
192	3899	117328
193	3917	117245
194	3936	117199
195	3955	117133
196	3975	117092
197	3994	117056
198	4016	117075
199	4038	117105
200	4058	117085
201	4079	117099
202	4104	117211
203	4136	117537
204	4169	117860
205	4197	118056
206	4223	118205
207	4250	118373
208	4281	118639
209	4306	118743
210	4328	118769
211	4349	118761
212	4369	118709
213	4386	118593
214	4405	118546
215	4423	118453
216	4444	118440
217	4462	118369
218	4481	118296
219	4503	118316
220	4525	118336
221	4546	118338
222	4565	118276
223	4587	118285
224	4612	118391
225	4633	118367
226	4656	118421
227	4675	118375
228	4696	118367
229	4721	118449
230	4740	118397
231	4762	118411
232	4781	118353
233	4803	118364
234	4824	118344
235	4845	118348
236	4866	118327
237	4887	118333
238	4906	118258
239	4925	118221
240	4955	118413
241	4985	118629
242	5027	119117
243	5060	119369
244	5085	119464
245	5107	119461
246	5129	119473
247	5150	119468
248	5171	119438
249	5194	119482
250	5216	119472
251	5234	119391
252	5253	119326
253	5272	119278
254	5293	119254
255	5314	119252
256	5333	119181
257	5351	119101
258	5372	119084
259	5389	118975
260	5409	118951
261	5431	118950
262	5451	118913
263	5468	118825
264	5488	118784
265	5509	118759
266	5530	118750
267	5550	118724
268	5572	118713
269	5592	118685
270	5613	118678
271	5634	118646
272	5652	118585
273	5673	118558
274	5691	118479
275	5710	118436
276	5727	118343
277	5746	118283
278	5765	118217
279	5785	118195
280	5805	118159
281	5824	118106
282	5842	118027
283	5861	117973
284	5880	117923
285	5901	117914
286	5924	117941
287	5944	117894
288	5965	117885
289	5986	117866
290	6005	117819
291	6027	117826
292	6051	117861
293	6068	117786
294	6088	117750
295	6110	117747
296	6129	117700
297	6148	117649
298	6169	117640
299	6190	117622
300	6209	117570
301	6227	117506
302	6247	117467
303	6264	117376
304	6286	117390
305	6307	117374
306	6331	117408
307	6352	117393
308	6375	117415
309	6397	117433
310	6418	117414
311	6436	117337
312	6455	117283
313	6473	117224
314	6493	117193
315	6512	117150
316	6531	117090
317	6553	117097
318	6573	117064
319	6593	117025
320	6616	117050
321	6635	117004
322	6655	116983
323	6676	116967
324	6698	116966
325	6719	116947
326	6737	116892
327	6757	116846
328	6774	116772
329	6798	116815
330	6819	116796
331	6841	116797
332	6859	116732
333	6883	116767
334	6901	116715
335	6923	116706
336	6945	116706
337	6967	116709
338	6988	116705
339	7010	116699
340	7029	116662
341	7050	116645
342	7068	116586
343	7092	116617
344	7111	116568
345	7132	116548
346	7153	116532
347	7171	116474
348	7191	116444
349	7211	116411
350	7230	116367
351	7251	116353
352	7273	116351
353	7293	116332
354	7313	116288
355	7333	116258
356	7353	116235
357	7375	116236
358	7396	116218
359	7417	116210
360	7437	116184
361	7457	116146
362	7476	116103
363	7496	116072
364	7514	116018
365	7534	115988
366	7554	115950
367	7578	115987
368	7596	115930
369	7619	115944
370	7638	115893
371	7658	115870
372	7677	115828
373	7696	115780
374	7714	115723
375	7733	115672
376	7754	115655
377	7778	115691
378	7798	115663
379	7817	115621
380	7837	115590
381	7854	115518
382	7874	115487
383	7895	115473
384	7914	115428
385	7932	115371
386	7953	115360
387	7975	115351
388	7995	115324
389	8015	115298
390	8036	115284
391	8055	115244
392	8077	115239
393	8098	115222
394	8118	115205
395	8139	115179
396	8157	115129
397	8177	115094
398	8198	115086
399	8216	115035
400	8238	115033
401	8260	115024
402	8282	115036
403	8307	115072
404	8331	115103
405	8352	115080
406	8375	115101
407	8402	115165
408	8422	115131
409	8441	115096
410	8461	115061
411	8483	115063
412	8505	115067
413	8525	115033
414	8543	114980
415	8564	114961
416	8586	114956
417	8607	114947
418	8623	114865
419	8643	114834
420	8662	114793
421	8684	114791
422	8704	114757
423	8722	114714
424	8740	114661
425	8757	114582
426	8778	114569
427	8799	114555
428	8820	114544
429	8840	114510
430	8860	114482
431	8883	114502
432	8904	114484
433	8923	114445
434	8941	114388
435	8962	114375
436	8983	114353
437	9001	114302
438	9021	114277
439	9041	114257
440	9060	114210
441	9080	114178
442	9100	114154
443	9120	114134
444	9141	114117
445	9161	114085
446	9182	114068
447	9200	114024
448	9222	114015
449	9244	114012
450	9267	114019
451	9285	113978
